"job_id","job_title","salary_year_avg","job_posted_date","company_name","skills"
177779,"Data Scientist","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","python"
177779,"Data Scientist","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","java"
177779,"Data Scientist","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","r"
177779,"Data Scientist","960000.0","2023-05-04 19:06:06","East River Electric Power Cooperative, Inc.","c++"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","sql"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","python"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","java"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","c#"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","azure"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","databricks"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","spark"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","pandas"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","pyspark"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","hadoop"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","tensorflow"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","keras"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","pytorch"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","jupyter"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","scikit-learn"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","matplotlib"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","plotly"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","seaborn"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","linux"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","git"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","kubernetes"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","docker"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","github"
1008448,"Senior Data Scientist","890000.0","2023-11-02 10:31:43","MSP Staffing  LTD","gitlab"
551617,"Geographic Information Systems Analyst - GIS Analyst","585000.0","2023-12-27 18:00:12","ReServe","excel"
40145,"Staff Data Scientist/Quant Researcher","550000.0","2023-08-16 16:05:16","Selby Jennings","sql"
40145,"Staff Data Scientist/Quant Researcher","550000.0","2023-08-16 16:05:16","Selby Jennings","python"
223758,"Hybrid - Data Engineer - Up to $600k","525000.0","2023-04-05 16:08:42","Durlston Partners","python"
223758,"Hybrid - Data Engineer - Up to $600k","525000.0","2023-04-05 16:08:42","Durlston Partners","c++"
1714768,"Staff Data Scientist - Business Analytics","525000.0","2023-09-01 19:24:02","Selby Jennings","sql"
1495652,"VP Data Science & Research","463500.0","2023-11-08 12:23:39","WhatsApp","go"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","sql"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","python"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","scala"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","java"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","aws"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","spark"
730717,"Data Engineer (L4) - Games","450000.0","2023-08-14 10:47:26","Netflix","excel"
